image_index,image_url,model_response,,,,,,model choice,Standard Answer,
1,https://raw.githubusercontent.com/PON2020/vast/main/image1.png.png,,,,,,,L,R,F
2,https://raw.githubusercontent.com/PON2020/vast/main/image2.png.png,,,,,,,L,L,T
3,https://raw.githubusercontent.com/PON2020/vast/main/image3.png.png,,,,,,,L,L,T
4,https://raw.githubusercontent.com/PON2020/vast/main/image4.png.png,,,,,,,L,R,F
5,https://raw.githubusercontent.com/PON2020/vast/main/image5.png.png,,,,,,,L,L,T
6,https://raw.githubusercontent.com/PON2020/vast/main/image6.png.png,,,,,,,R,L,F
7,https://raw.githubusercontent.com/PON2020/vast/main/image7.png.png,,,,,,,R,R,T
8,https://raw.githubusercontent.com/PON2020/vast/main/image8.png.png,,,,,,,R,R,T
9,https://raw.githubusercontent.com/PON2020/vast/main/image9.png.png,,,,,,,L,L,T
10,https://raw.githubusercontent.com/PON2020/vast/main/image10.png.png,,,,,,,L,L,T
11,https://raw.githubusercontent.com/PON2020/vast/main/image11.png.png,,,,,,,R,R,T
12,https://raw.githubusercontent.com/PON2020/vast/main/image12.png.png,,,,,,,R,L,F
13,https://raw.githubusercontent.com/PON2020/vast/main/image13.png.png,,,,,,,L,R,F
14,https://raw.githubusercontent.com/PON2020/vast/main/image14.png.png,,,,,,,L,L,T
15,https://raw.githubusercontent.com/PON2020/vast/main/image15.png.png,,,,,,,L,L,T
16,https://raw.githubusercontent.com/PON2020/vast/main/image16.png.png,,,,,,,R,R,T
17,https://raw.githubusercontent.com/PON2020/vast/main/image17.png.png,,,,,,,L,L,T
18,https://raw.githubusercontent.com/PON2020/vast/main/image18.png.png,,,,,,,R,L,F
19,https://raw.githubusercontent.com/PON2020/vast/main/image19.png.png,,,,,,,L,L,T
20,https://raw.githubusercontent.com/PON2020/vast/main/image20.png.png,,,,,,,R,L,F
21,https://raw.githubusercontent.com/PON2020/vast/main/image21.png.png,,,,,,,L,L,T
22,https://raw.githubusercontent.com/PON2020/vast/main/image22.png.png,,,,,,,L,R,F
23,https://raw.githubusercontent.com/PON2020/vast/main/image23.png.png,,,,,,,L,R,F
24,https://raw.githubusercontent.com/PON2020/vast/main/image24.png.png,,,,,,,L,R,F
25,https://raw.githubusercontent.com/PON2020/vast/main/image25.png.png,,,,,,,R,L,F
26,https://raw.githubusercontent.com/PON2020/vast/main/image26.png.png,,,,,,,L,L,T
27,https://raw.githubusercontent.com/PON2020/vast/main/image27.png.png,,,,,,,L,R,F
28,https://raw.githubusercontent.com/PON2020/vast/main/image28.png.png,,,,,,,L,R,F
29,https://raw.githubusercontent.com/PON2020/vast/main/image29.png.png,,,,,,,L,R,F
30,https://raw.githubusercontent.com/PON2020/vast/main/image30.png.png,,,,,,,R,L,F
31,https://raw.githubusercontent.com/PON2020/vast/main/image31.png.png,,,,,,,R,L,F
32,https://raw.githubusercontent.com/PON2020/vast/main/image32.png.png,,,,,,,L,L,T
33,https://raw.githubusercontent.com/PON2020/vast/main/image33.png.png,,,,,,,R,R,T
34,https://raw.githubusercontent.com/PON2020/vast/main/image34.png.png,,,,,,,R,L,F
35,https://raw.githubusercontent.com/PON2020/vast/main/image35.png.png,,,,,,,R,R,T
36,https://raw.githubusercontent.com/PON2020/vast/main/image36.png.png,,,,,,,L,L,T
37,https://raw.githubusercontent.com/PON2020/vast/main/image37.png.png,,,,,,,R,R,T
38,https://raw.githubusercontent.com/PON2020/vast/main/image38.png.png,,,,,,,L,L,T
39,https://raw.githubusercontent.com/PON2020/vast/main/image39.png.png,,,,,,,L,R,F
40,https://raw.githubusercontent.com/PON2020/vast/main/image40.png.png,,,,,,,R,R,F
41,https://raw.githubusercontent.com/PON2020/vast/main/image41.png.png,,,,,,,L,R,F
42,https://raw.githubusercontent.com/PON2020/vast/main/image42.png.png,,,,,,,L,R,F
43,https://raw.githubusercontent.com/PON2020/vast/main/image43.png.png,,,,,,,R,L,F
44,https://raw.githubusercontent.com/PON2020/vast/main/image44.png.png,,,,,,,R,L,F
45,https://raw.githubusercontent.com/PON2020/vast/main/image45.png.png,,,,,,,R,R,T
46,https://raw.githubusercontent.com/PON2020/vast/main/image46.png.png,,,,,,,R,L,F
47,https://raw.githubusercontent.com/PON2020/vast/main/image47.png.png,,,,,,,R,L,F
48,https://raw.githubusercontent.com/PON2020/vast/main/image48.png.png,,,,,,,L,L,F
49,https://raw.githubusercontent.com/PON2020/vast/main/image49.png.png,,,,,,,L,R,F
50,https://raw.githubusercontent.com/PON2020/vast/main/image50.png.png,,,,,,,L,L,T
,,,,,,,,,,
Correct:,23,,,,,,,,,
NA:,0,,,,,,,,,
False:,27,,,,,,,,,
