image_index,image_url,Mistral Classification,Standard Answer,accuracy,model,prompt
1,https://raw.githubusercontent.com/PON2020/vast/main/image1.png.png,Right,R,T,D,2
2,https://raw.githubusercontent.com/PON2020/vast/main/image2.png.png,Right,L,F,D,2
3,https://raw.githubusercontent.com/PON2020/vast/main/image3.png.png,Right,L,F,D,2
4,https://raw.githubusercontent.com/PON2020/vast/main/image4.png.png,Left,R,F,D,2
5,https://raw.githubusercontent.com/PON2020/vast/main/image5.png.png,Right,L,F,D,2
6,https://raw.githubusercontent.com/PON2020/vast/main/image6.png.png,Right,L,F,D,2
7,https://raw.githubusercontent.com/PON2020/vast/main/image7.png.png,Right,R,T,D,2
8,https://raw.githubusercontent.com/PON2020/vast/main/image8.png.png,Left,R,F,D,2
9,https://raw.githubusercontent.com/PON2020/vast/main/image9.png.png,Right,L,F,D,2
10,https://raw.githubusercontent.com/PON2020/vast/main/image10.png.png,Right,L,F,D,2
11,https://raw.githubusercontent.com/PON2020/vast/main/image11.png.png,Right,R,T,D,2
12,https://raw.githubusercontent.com/PON2020/vast/main/image12.png.png,Right,L,F,D,2
13,https://raw.githubusercontent.com/PON2020/vast/main/image13.png.png,Right,R,T,D,2
14,https://raw.githubusercontent.com/PON2020/vast/main/image14.png.png,Right,L,F,D,2
15,https://raw.githubusercontent.com/PON2020/vast/main/image15.png.png,Right,L,F,D,2
16,https://raw.githubusercontent.com/PON2020/vast/main/image16.png.png,Right,R,T,D,2
17,https://raw.githubusercontent.com/PON2020/vast/main/image17.png.png,Right,L,F,D,2
18,https://raw.githubusercontent.com/PON2020/vast/main/image18.png.png,Right,L,F,D,2
19,https://raw.githubusercontent.com/PON2020/vast/main/image19.png.png,Left,L,T,D,2
20,https://raw.githubusercontent.com/PON2020/vast/main/image20.png.png,Right,L,F,D,2
21,https://raw.githubusercontent.com/PON2020/vast/main/image21.png.png,Right,L,F,D,2
22,https://raw.githubusercontent.com/PON2020/vast/main/image22.png.png,Left,R,F,D,2
23,https://raw.githubusercontent.com/PON2020/vast/main/image23.png.png,Right,R,T,D,2
24,https://raw.githubusercontent.com/PON2020/vast/main/image24.png.png,Right,R,T,D,2
25,https://raw.githubusercontent.com/PON2020/vast/main/image25.png.png,Left,L,T,D,2
26,https://raw.githubusercontent.com/PON2020/vast/main/image26.png.png,Right,L,F,D,2
27,https://raw.githubusercontent.com/PON2020/vast/main/image27.png.png,Right,R,T,D,2
28,https://raw.githubusercontent.com/PON2020/vast/main/image28.png.png,Right,R,T,D,2
29,https://raw.githubusercontent.com/PON2020/vast/main/image29.png.png,Right,R,T,D,2
30,https://raw.githubusercontent.com/PON2020/vast/main/image30.png.png,Right,L,F,D,2
31,https://raw.githubusercontent.com/PON2020/vast/main/image31.png.png,Right,L,F,D,2
32,https://raw.githubusercontent.com/PON2020/vast/main/image32.png.png,Right,L,F,D,2
33,https://raw.githubusercontent.com/PON2020/vast/main/image33.png.png,Right,R,T,D,2
34,https://raw.githubusercontent.com/PON2020/vast/main/image34.png.png,Right,L,F,D,2
35,https://raw.githubusercontent.com/PON2020/vast/main/image35.png.png,Right,R,T,D,2
36,https://raw.githubusercontent.com/PON2020/vast/main/image36.png.png,Left,L,T,D,2
37,https://raw.githubusercontent.com/PON2020/vast/main/image37.png.png,Left,R,F,D,2
38,https://raw.githubusercontent.com/PON2020/vast/main/image38.png.png,Right,L,F,D,2
39,https://raw.githubusercontent.com/PON2020/vast/main/image39.png.png,Left,R,F,D,2
40,https://raw.githubusercontent.com/PON2020/vast/main/image40.png.png,Right,R,T,D,2
41,https://raw.githubusercontent.com/PON2020/vast/main/image41.png.png,Right,R,T,D,2
42,https://raw.githubusercontent.com/PON2020/vast/main/image42.png.png,Right,R,T,D,2
43,https://raw.githubusercontent.com/PON2020/vast/main/image43.png.png,Right,L,F,D,2
44,https://raw.githubusercontent.com/PON2020/vast/main/image44.png.png,Right,L,F,D,2
45,https://raw.githubusercontent.com/PON2020/vast/main/image45.png.png,Right,R,T,D,2
46,https://raw.githubusercontent.com/PON2020/vast/main/image46.png.png,Right,L,F,D,2
47,https://raw.githubusercontent.com/PON2020/vast/main/image47.png.png,Right,L,F,D,2
48,https://raw.githubusercontent.com/PON2020/vast/main/image48.png.png,Right,L,F,D,2
49,https://raw.githubusercontent.com/PON2020/vast/main/image49.png.png,Right,R,T,D,2
50,https://raw.githubusercontent.com/PON2020/vast/main/image50.png.png,Right,L,F,D,2
