image_index,image_url,Mistral Classification,Mistral Classification,Standard Answer,accuracy,model,prompt
1,https://raw.githubusercontent.com/PON2020/vast/main/image1.png.png,Right,Not Given,R,NG,D,3
2,https://raw.githubusercontent.com/PON2020/vast/main/image2.png.png,Right,Left,L,T,D,3
3,https://raw.githubusercontent.com/PON2020/vast/main/image3.png.png,Right,Right,L,F,D,3
4,https://raw.githubusercontent.com/PON2020/vast/main/image4.png.png,Left,Left,R,F,D,3
5,https://raw.githubusercontent.com/PON2020/vast/main/image5.png.png,Right,Right,L,F,D,3
6,https://raw.githubusercontent.com/PON2020/vast/main/image6.png.png,Right,Left,L,T,D,3
7,https://raw.githubusercontent.com/PON2020/vast/main/image7.png.png,Right,Left,R,F,D,3
8,https://raw.githubusercontent.com/PON2020/vast/main/image8.png.png,Left,Left,R,F,D,3
9,https://raw.githubusercontent.com/PON2020/vast/main/image9.png.png,Right,Not Given,L,NG,D,3
10,https://raw.githubusercontent.com/PON2020/vast/main/image10.png.png,Right,Right,L,F,D,3
11,https://raw.githubusercontent.com/PON2020/vast/main/image11.png.png,Right,Left,R,F,D,3
12,https://raw.githubusercontent.com/PON2020/vast/main/image12.png.png,Right,Right,L,F,D,3
13,https://raw.githubusercontent.com/PON2020/vast/main/image13.png.png,Right,Not Given,R,NG,D,3
14,https://raw.githubusercontent.com/PON2020/vast/main/image14.png.png,Right,Right,L,F,D,3
15,https://raw.githubusercontent.com/PON2020/vast/main/image15.png.png,Right,Left,L,T,D,3
16,https://raw.githubusercontent.com/PON2020/vast/main/image16.png.png,Right,Left,R,F,D,3
17,https://raw.githubusercontent.com/PON2020/vast/main/image17.png.png,Right,Right,L,F,D,3
18,https://raw.githubusercontent.com/PON2020/vast/main/image18.png.png,Right,Left,L,T,D,3
19,https://raw.githubusercontent.com/PON2020/vast/main/image19.png.png,Left,Right,L,F,D,3
20,https://raw.githubusercontent.com/PON2020/vast/main/image20.png.png,Right,Left,L,T,D,3
21,https://raw.githubusercontent.com/PON2020/vast/main/image21.png.png,Right,Right,L,F,D,3
22,https://raw.githubusercontent.com/PON2020/vast/main/image22.png.png,Left,Left,R,F,D,3
23,https://raw.githubusercontent.com/PON2020/vast/main/image23.png.png,Right,Right,R,T,D,3
24,https://raw.githubusercontent.com/PON2020/vast/main/image24.png.png,Right,Left,R,F,D,3
25,https://raw.githubusercontent.com/PON2020/vast/main/image25.png.png,Left,Left,L,T,D,3
26,https://raw.githubusercontent.com/PON2020/vast/main/image26.png.png,Right,Right,L,F,D,3
27,https://raw.githubusercontent.com/PON2020/vast/main/image27.png.png,Right,Not Given,R,NG,D,3
28,https://raw.githubusercontent.com/PON2020/vast/main/image28.png.png,Right,Not Given,R,NG,D,3
29,https://raw.githubusercontent.com/PON2020/vast/main/image29.png.png,Right,Right,R,T,D,3
30,https://raw.githubusercontent.com/PON2020/vast/main/image30.png.png,Right,Left,L,T,D,3
31,https://raw.githubusercontent.com/PON2020/vast/main/image31.png.png,Right,Left,L,T,D,3
32,https://raw.githubusercontent.com/PON2020/vast/main/image32.png.png,Right,Left,L,T,D,3
33,https://raw.githubusercontent.com/PON2020/vast/main/image33.png.png,Right,Left,R,F,D,3
34,https://raw.githubusercontent.com/PON2020/vast/main/image34.png.png,Right,Right,L,F,D,3
35,https://raw.githubusercontent.com/PON2020/vast/main/image35.png.png,Right,Right,R,T,D,3
36,https://raw.githubusercontent.com/PON2020/vast/main/image36.png.png,Left,Right,L,F,D,3
37,https://raw.githubusercontent.com/PON2020/vast/main/image37.png.png,Left,Right,R,T,D,3
38,https://raw.githubusercontent.com/PON2020/vast/main/image38.png.png,Right,Left,L,T,D,3
39,https://raw.githubusercontent.com/PON2020/vast/main/image39.png.png,Left,Right,R,T,D,3
40,https://raw.githubusercontent.com/PON2020/vast/main/image40.png.png,Right,Right,R,T,D,3
41,https://raw.githubusercontent.com/PON2020/vast/main/image41.png.png,Right,Left,R,F,D,3
42,https://raw.githubusercontent.com/PON2020/vast/main/image42.png.png,Right,Left,R,F,D,3
43,https://raw.githubusercontent.com/PON2020/vast/main/image43.png.png,Right,Left,L,T,D,3
44,https://raw.githubusercontent.com/PON2020/vast/main/image44.png.png,Right,Right,L,F,D,3
45,https://raw.githubusercontent.com/PON2020/vast/main/image45.png.png,Right,Right,R,T,D,3
46,https://raw.githubusercontent.com/PON2020/vast/main/image46.png.png,Right,Left,L,T,D,3
47,https://raw.githubusercontent.com/PON2020/vast/main/image47.png.png,Right,Right,L,F,D,3
48,https://raw.githubusercontent.com/PON2020/vast/main/image48.png.png,Right,Right,L,F,D,3
49,https://raw.githubusercontent.com/PON2020/vast/main/image49.png.png,Right,Right,R,T,D,3
50,https://raw.githubusercontent.com/PON2020/vast/main/image50.png.png,Right,Right,L,F,D,3
